1,Test vehicle data collection
2,Verify engine operation
3,DM5: Diagnostic readiness 1
4,DM24: SPN support
5,PGN 65260 VIN verification
6,DM56: Model year and certification engine family
7,DM19: Calibration information
8,DM20: Monitor Performance Ratio
9,Component ID: Make, Model, Serial Number Support
10,DM11: Diagnostic Data Clear/Reset for Active DTCs
11,DM21: Diagnostic readiness 2
12,DM7/DM30: Command Non-continuously Monitored Test/Scaled Test Results
13,DM5: Diagnostic Readiness 1: Monitor Readiness
14,DM26: Diagnostic readiness 3
15,DM1: Active DTCs
16,DM2: Previously Active DTCs
17,DM6: Emission related pending DTCs
18,DM12: Emissions related active DTCs
19,DM23: Emission Related Previously Active DTCs
20,DM28: Permanent DTCs
21,DM27: All Pending DTCs
22,DM29: Regulated DTC counts
23,DM31: DTC to Lamp Association
24,DM25: Expanded freeze frame
25,DM20: Monitor performance ratio
26,Data stream support verification
27,Part 1 to Part 2 Transition
